t,value,std
0,4.257562582583807,0.16432915579123442
1,4.002071347839243,0.17904395253478927
2,3.7180006512032344,0.20206509268151795
3,3.338200191753833,0.2763960872371896
4,2.7400822123735518,0.4935440002922928
5,1.9369675684002865,0.6782666330723348
6,1.3652637293598815,0.5220627247081966
7,1.1918346008107492,0.38885322744267653
8,1.2249776881660186,0.3895551169778218
9,1.3860596587522953,0.4502272442096605
10,1.6175437815343534,0.5223474423591001
11,1.8344071067760868,0.5788136587393349
12,1.9769242652795538,0.6137913725416287
13,2.033784715459569,0.6297316161987464
14,2.0224584481224017,0.6305039638260683
15,1.966918023127665,0.6205751435816672
16,1.8873708724389895,0.6044651172862995
17,1.7980996275454264,0.5862120557566013
18,1.7081823469054793,0.5692422554640725
19,1.6227484700908448,0.5565145438548069
20,1.5442434077655893,0.5506526481080426
21,1.4736658361545956,0.5537732524076453
22,1.411589106682252,0.5668171296254406
23,1.3585935547290275,0.5885158923675633
24,1.314953280365458,0.614586600771047
25,1.2800432569112055,0.6379797749564031
26,1.252377796855429,0.6507263465486652
27,1.2307749871612927,0.6469855634920645
28,1.215904168253114,0.6256209010191697
29,1.210615777767342,0.590488145622551
30,1.218439095847975,0.5482700883352886
31,1.2416644080459116,0.5053871695737406
32,1.2806927022173493,0.46592104511696464
33,1.334614011453483,0.4315157478908882
34,1.4019329213617082,0.40246128099457446
35,1.4808856897075722,0.3785891674972534
