Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force,Lifetime,Lnp,Force
12.538,0.2,1.609438,0,14.654,0.081,1.386294,0,20.291,0.025,2.397895,0,23.179,0.022,1.791759,0
8.607,0.246,1.386294,-0.223144,15.81,0.142,1.098612,-0.287682,21.746,0.028,2.302585,-0.09531,23.332,0.053,1.609438,-0.182322
11.588,0.299,1.098612,-0.510826,14.392,0.265,0.693147,-0.693147,18.129,0.042,2.197225,-0.200671,21.848,0.056,1.386294,-0.405465
9.913,0.354,0.693147,-0.916291,15.518,0.431,0,-1.386294,18.191,0.067,2.079442,-0.318454,23.579,0.135,1.098612,-0.693147
11.589,0.404,0,-1.609438,0,0,0,0,19.626,0.067,1.94591,-0.451985,23.404,0.198,0.693147,-1.098612
0,0,0,0,0,0,0,0,21.258,0.107,1.791759,-0.606136,22.834,0.282,0,-1.791759
0,0,0,0,0,0,0,0,20.033,0.131,1.609438,-0.788457,0,0,0,0
0,0,0,0,0,0,0,0,20.037,0.319,1.386294,-1.011601,0,0,0,0
0,0,0,0,0,0,0,0,20.175,0.362,1.098612,-1.299283,0,0,0,0
0,0,0,0,0,0,0,0,21.673,0.473,0.693147,-1.704748,0,0,0,0
0,0,0,0,0,0,0,0,18.225,0.541,0,-2.397895,0,0,0,0
